n213	n163	25.9	9.93	21
n85	n77	26.1	0.733	25
n85	n66	24.6	1.63	23
n85	n38	24.7	1.63	23
n85	n7	24.6	2.13	23
n85	n68	24.6	2.13	23
n85	n19	23.2	2.79	23
n85	n61	23.7	4.75	22
n85	n76	22.2	4.75	22
n85	n71	21.5	6.21	22
n85	n59	21.5	6.21	22
n85	n1	31.6	8.11	21
n85	n41	30.8	8.11	21
n84	n49	30.4	2.87e-29	119
n84	n37	28.7	4.29e-25	105
n84	n39	29.8	3.18e-20	89
n84	n48	27.0	2.52e-17	79
n84	n35	30.4	1.13e-09	54
n84	n3	29.6	2.52e-09	53
n84	n21	23.3	0.0299	29
n84	n47	23.3	0.0299	29
n83	n5	53.6	9.55e-78	281
n83	n6	52.5	2.13e-77	280
n83	n53	55.4	2.2e-74	270
n83	n81	50.9	4.15e-73	265
n83	n62	51.2	1.21e-72	264
n83	n73	53.8	4.59e-72	262
n83	n72	50.2	1.02e-71	261
n83	n52	53.1	1.34e-71	260
n83	n24	46.8	6.63e-71	258
n83	n54	51.7	1.48e-70	257
n83	n2	52.3	1.93e-70	257
n83	n58	50.0	1.25e-69	254
n83	n9	48.1	2.13e-69	253
n83	n23	48.1	2.61e-67	246
n83	n44	47.5	4.45e-67	245
n83	n15	47.5	4.45e-67	245
n83	n46	47.5	4.45e-67	245
n83	n80	47.1	1.69e-66	243
n83	n29	46.8	3.76e-66	242
n83	n64	50.2	6.42e-66	242
n83	n74	47.1	1.87e-65	240
n83	n25	46.1	9.27e-65	238
n83	n45	46.1	9.27e-65	238
n83	n14	46.1	9.27e-65	238
n83	n78	46.9	1.21e-64	237
n83	n16	48.1	3.52e-64	236
n83	n27	46.4	4.6e-64	235
n83	n22	46.4	4.6e-64	235
n83	n30	48.7	8.68e-63	231
n83	n11	48.7	8.68e-63	231
n83	n56	49.0	8.68e-63	231
n83	n57	48.8	1.13e-62	231
n83	n8	48.3	1.48e-62	230
n83	n26	48.3	2.53e-62	230
n83	n13	48.3	2.53e-62	230
n83	n10	48.7	1.25e-61	227
n83	n55	48.3	1.64e-61	227
n83	n33	47.5	1.39e-60	224
n83	n32	43.6	1.39e-60	224
n83	n31	47.1	1.81e-60	223
n83	n12	47.1	1.81e-60	223
n83	n18	44.6	1.81e-60	223
n83	n28	41.1	1.03e-55	208
n83	n34	43.5	6.66e-55	205
n83	n42	40.8	1.26e-53	201
n83	n1	40.6	4.77e-53	199
n83	n4	38.8	2.37e-52	196
n83	n47	39.0	2.22e-50	190
n83	n21	39.0	2.22e-50	190
n83	n70	41.7	2.22e-50	190
n83	n69	40.2	4.18e-49	186
n83	n41	42.3	3.54e-48	183
n83	n60	38.4	7.89e-48	181
n83	n59	38.7	3e-47	179
n83	n7	38.0	2.54e-46	176
n83	n36	38.4	5.65e-46	175
n83	n76	38.0	1.26e-45	174
n83	n51	38.3	1.64e-45	174
n83	n77	38.6	2.81e-45	173
n83	n75	38.1	1.07e-44	171
n83	n68	37.2	1.82e-44	170
n83	n71	38.3	5.29e-44	169
n83	n66	37.2	2.01e-43	167
n83	n19	36.6	5.85e-43	165
n83	n61	36.9	9.98e-43	164
n83	n20	35.5	9.34e-41	158
n83	n43	33.5	3.56e-32	129
n83	n67	32.5	3.33e-30	123
n83	n82	31.7	9.69e-30	121
n83	n50	30.8	8.49e-26	108
n83	n79	30.1	2.73e-24	103
n83	n63	27.1	2.31e-23	100
n83	n40	24.8	6.74e-15	72
n83	n38	25.0	4.09e-12	63
n83	n3	28.5	0.000108	38
n83	n35	27.0	0.00041	36
n83	n39	25.4	0.000699	35
n83	n49	26.6	0.0132	31
n83	n17	29.7	0.0294	30
n83	n37	31.0	0.0294	30
n83	n65	22.5	0.19	27
n82	n67	60.8	4.94e-136	474
n82	n42	41.5	7.07e-50	188
n82	n61	40.1	2.69e-49	186
n82	n60	39.0	4.58e-49	185
n82	n21	41.5	3.07e-45	173
n82	n47	41.5	3.07e-45	173
n82	n68	36.2	8.94e-45	171
n82	n71	34.9	1.52e-44	170
n82	n77	35.6	3.4e-44	169
n82	n33	40.2	4.44e-44	169
n82	n7	36.5	5.79e-44	168
n82	n66	35.4	5.79e-44	168
n82	n76	34.9	4.91e-43	165
n82	n36	37.2	8.37e-43	164
n82	n19	36.1	8.37e-43	164
n82	n34	39.4	5.42e-42	162
n82	n18	34.2	2.69e-41	159
n82	n4	36.2	1.02e-40	158
n82	n1	36.9	1.74e-40	157
n82	n70	33.2	1.74e-40	157
n82	n59	32.8	1.93e-39	153
n82	n51	33.1	4.75e-38	149
n82	n20	33.5	6.21e-38	148
n82	n32	34.0	2e-36	143
n82	n9	34.2	2e-36	143
n82	n52	34.4	2.61e-36	143
n82	n57	36.8	4.45e-36	142
n82	n22	37.9	1.69e-35	140
n82	n27	37.9	1.69e-35	140
n82	n53	34.5	2.21e-35	140
n82	n56	36.4	2.88e-35	139
n82	n74	36.2	4.92e-35	139
n82	n55	36.4	4.92e-35	139
n82	n81	34.3	1.1e-34	138
n82	n41	32.6	3.19e-34	136
n82	n5	33.9	3.19e-34	136
n82	n75	34.1	3.19e-34	136
n82	n6	34.7	9.27e-34	134
n82	n23	37.4	9.27e-34	134
n82	n78	30.5	2.07e-33	133
n82	n73	33.3	7.85e-33	131
n82	n79	32.8	1.34e-32	131
n82	n25	35.2	2.98e-32	129
n82	n2	33.2	2.98e-32	129
n82	n14	35.2	3.9e-32	129
n82	n58	33.1	3.9e-32	129
n82	n31	35.2	3.9e-32	129
n82	n12	35.2	3.9e-32	129
n82	n45	35.2	3.9e-32	129
n82	n54	33.2	5.09e-32	129
n82	n16	33.8	6.65e-32	128
n82	n50	30.2	1.48e-31	127
n82	n64	32.9	1.48e-31	127
n82	n8	33.5	1.48e-31	127
n82	n10	34.2	1.93e-31	127
n82	n11	34.2	1.93e-31	127
n82	n15	34.2	1.93e-31	127
n82	n44	34.2	1.93e-31	127
n82	n30	34.2	1.93e-31	127
n82	n62	32.6	1.93e-31	127
n82	n46	34.2	1.93e-31	127
n82	n26	34.2	1.93e-31	127
n82	n24	32.4	2.53e-31	126
n82	n69	33.5	5.63e-31	125
n82	n13	33.9	1.64e-30	124
n82	n29	34.4	1.64e-30	124
n82	n28	35.0	1.64e-30	124
n82	n80	33.7	2.14e-30	123
n82	n43	30.5	3.09e-29	119
n82	n72	31.2	8.41e-27	111
n82	n63	32.1	3.91e-24	102
n82	n40	30.5	1.18e-20	91
n82	n38	27.9	6.25e-14	69
n82	n35	21.6	0.000344	36
n82	n3	28.0	0.000344	36
n82	n49	40.5	1.03	25
n82	n37	23.4	1.03	25
n82	n37	30.8	1.77	24
n82	n6	30.0	6.71	22
n81	n62	78.2	1.55e-122	429
n81	n53	74.0	1.96e-117	412
n81	n52	73.6	2.4e-115	405
n81	n64	73.5	3.83e-113	398
n81	n6	66.7	4.68e-111	391
n81	n9	62.2	1.01e-105	373
n81	n5	63.4	2.49e-104	369
n81	n72	61.7	4.24e-104	368
n81	n24	61.8	4.24e-104	368
n81	n54	68.2	1.61e-103	366
n81	n22	62.4	2.75e-103	365
n81	n27	62.4	2.75e-103	365
n81	n44	60.4	3.97e-102	361
n81	n15	60.4	3.97e-102	361
n81	n46	60.4	3.97e-102	361
n81	n2	67.7	5.19e-102	361
n81	n29	59.5	5.19e-102	361
n81	n16	67.4	1.16e-101	360
n81	n80	60.1	3.36e-101	358
n81	n74	61.8	3.36e-101	358
n81	n78	60.2	4.39e-101	358
n81	n25	60.0	6.34e-100	354
n81	n14	58.8	1.41e-99	353
n81	n45	58.8	1.41e-99	353
n81	n26	64.4	2.41e-99	352
n81	n11	64.0	3.15e-99	352
n81	n30	64.0	3.15e-99	352
n81	n23	59.9	5.37e-99	351
n81	n8	63.5	2.66e-98	349
n81	n13	63.6	2.66e-98	349
n81	n31	62.8	1.12e-96	343
n81	n12	62.8	1.12e-96	343
n81	n10	62.8	9.48e-96	340
n81	n73	56.9	1.62e-95	339
n81	n56	64.3	1.37e-94	336
n81	n57	64.0	5.2e-94	334
n81	n55	62.9	2.58e-93	332
n81	n28	56.3	5.04e-89	318
n81	n69	56.2	3.38e-85	305
n81	n33	53.6	1.68e-84	303
n81	n32	51.7	3.5e-82	295
n81	n58	51.7	4.57e-82	295
n81	n34	53.4	4.57e-82	295
n81	n42	52.3	2.27e-81	292
n81	n18	50.3	1.8e-78	283
n81	n68	49.0	3.39e-77	278
n81	n66	50.9	2.43e-75	272
n81	n47	51.3	1.2e-74	270
n81	n21	51.3	1.2e-74	270
n81	n77	49.8	4.58e-74	268
n81	n4	49.3	1.02e-73	267
n81	n76	46.3	2.27e-73	266
n81	n70	47.8	1.92e-72	263
n81	n1	50.5	5.59e-72	261
n81	n7	46.6	9.54e-72	260
n81	n61	47.1	1.06e-70	257
n81	n59	46.3	5.24e-70	255
n81	n51	47.2	8.93e-70	254
n81	n19	45.5	1.17e-69	253
n81	n36	48.0	3.75e-68	248
n81	n75	49.4	4.9e-68	248
n81	n60	45.7	8.36e-68	247
n81	n71	48.9	1.09e-67	247
n81	n41	45.1	5.07e-65	238
n81	n20	43.9	2.78e-63	232
n81	n43	41.6	6.21e-55	205
n81	n67	32.0	1.26e-31	127
n81	n50	30.5	4.79e-31	125
n81	n79	32.2	2.01e-29	120
n81	n40	30.7	4.8e-23	99
n81	n63	26.3	1.54e-21	94
n81	n38	27.6	6.51e-12	62
n81	n17	33.0	1.55e-05	40
n81	n65	25.0	0.000382	36
n81	n49	27.7	0.000652	35
n81	n39	25.0	0.0358	29
n81	n37	30.7	0.881	25
n81	n35	32.4	5.71	22
n81	n3	32.0	5.71	22
n80	n44	97.7	5.11e-171	590
n80	n15	97.7	5.11e-171	590
n80	n46	97.7	5.11e-171	590
n80	n29	97.3	1.94e-170	588
n80	n25	95.0	1.7e-166	575
n80	n14	94.0	3.21e-165	571
n80	n45	94.0	3.21e-165	571
n80	n13	99.6	4.8e-153	530
n80	n26	98.1	5.87e-151	523
n80	n30	97.3	6.49e-150	520
n80	n11	97.3	6.49e-150	520
n80	n8	96.9	1.45e-149	519
n80	n10	96.2	3.33e-146	508
n80	n12	94.3	1.27e-145	506
n80	n31	94.3	1.27e-145	506
n80	n23	79.7	1.45e-141	492
n80	n27	79.4	1.36e-139	486
n80	n22	79.4	1.36e-139	486
n80	n74	75.8	4.52e-127	444
n80	n16	74.7	6.55e-118	414
n80	n52	68.1	4.56e-103	364
n80	n24	60.7	4.56e-103	364
n80	n53	68.3	1.01e-102	363
n80	n72	58.4	1.79e-99	352
n80	n54	64.9	1.16e-98	350
n80	n2	64.6	3.38e-98	348
n80	n5	60.1	7.53e-98	347
n80	n64	64.7	2.19e-97	346
n80	n6	59.8	2.86e-97	345
n80	n62	62.4	1.57e-95	339
n80	n78	56.7	5.58e-93	331
n80	n9	54.9	2.2e-89	319
n80	n69	57.2	2.2e-89	319
n80	n33	57.5	1.74e-86	309
n80	n34	56.7	2.97e-86	309
n80	n28	55.0	1.63e-84	303
n80	n32	49.0	2.43e-80	289
n80	n73	49.8	3.18e-80	289
n80	n58	51.2	1.21e-79	287
n80	n18	50.3	3.88e-78	282
n80	n57	55.0	6.62e-78	281
n80	n56	54.6	1.48e-77	280
n80	n68	49.0	7.32e-77	277
n80	n55	54.2	7.32e-77	277
n80	n70	48.3	2.78e-76	275
n80	n42	50.6	4.75e-76	275
n80	n7	48.7	8.95e-75	270
n80	n66	46.5	2.21e-73	266
n80	n77	45.9	6.42e-73	264
n80	n1	49.7	4.16e-72	262
n80	n4	49.5	5.43e-72	261
n80	n51	49.1	7.09e-72	261
n80	n76	49.3	1.21e-71	260
n80	n19	44.0	7.84e-71	257
n80	n59	46.2	1.34e-70	257
n80	n47	47.9	2.52e-69	252
n80	n21	47.9	2.52e-69	252
n80	n75	48.9	9.59e-69	250
n80	n71	44.4	2.14e-68	249
n80	n36	48.1	1.06e-67	247
n80	n41	44.5	4.45e-66	242
n80	n60	47.0	4.45e-66	242
n80	n20	48.2	1.69e-65	240
n80	n61	45.9	4.17e-64	235
n80	n43	41.5	7.13e-56	208
n80	n50	33.9	1.55e-34	137
n80	n79	34.7	1.89e-32	130
n80	n67	34.8	3.02e-30	122
n80	n63	31.1	2.92e-25	106
n80	n40	30.0	9.4e-24	101
n80	n38	25.8	5.17e-14	69
n80	n65	28.4	4.68e-07	45
n80	n37	27.2	1.97e-05	40
n80	n17	31.2	4.38e-05	39
n80	n35	22.2	9.77e-05	38
n80	n3	22.9	0.000128	37
n80	n49	26.7	0.000218	37
n80	n39	22.3	0.0119	31
n80	n39	25.0	0.0266	30
n80	n49	30.0	1.46	24
n79	n50	85.4	1.51e-140	489
n79	n7	31.9	1.83e-37	146
n79	n77	32.8	2.39e-37	146
n79	n1	34.5	3.13e-37	146
n79	n67	33.2	1.31e-35	140
n79	n75	35.2	1.72e-35	140
n79	n76	31.4	2.24e-35	139
n79	n66	32.6	4.99e-35	138
n79	n68	31.5	4.99e-35	138
n79	n16	34.7	1.9e-34	136
n79	n41	33.3	2.48e-34	136
n79	n45	36.0	5.52e-34	135
n79	n14	36.0	5.52e-34	135
n79	n31	36.0	5.52e-34	135
n79	n12	36.0	5.52e-34	135
n79	n62	34.4	7.21e-34	134
n79	n70	33.6	1.23e-33	134
n79	n47	32.2	1.61e-33	133
n79	n25	35.6	1.61e-33	133
n79	n21	32.2	1.61e-33	133
n79	n59	31.6	2.1e-33	133
n79	n19	30.9	7.97e-33	131
n79	n29	35.2	7.97e-33	131
n79	n13	34.7	1.78e-32	130
n79	n61	30.8	5.17e-32	128
n79	n8	34.3	6.75e-32	128
n79	n44	34.0	8.81e-32	127
n79	n46	34.0	8.81e-32	127
n79	n11	34.0	8.81e-32	127
n79	n15	34.0	8.81e-32	127
n79	n30	34.0	8.81e-32	127
n79	n71	29.2	1.5e-31	127
n79	n27	34.7	1.96e-31	126
n79	n23	34.4	1.96e-31	126
n79	n22	34.7	1.96e-31	126
n79	n10	34.0	1.96e-31	126
n79	n33	31.9	3.35e-31	126
n79	n26	33.9	3.35e-31	126
n79	n9	32.8	3.35e-31	126
n79	n4	32.2	7.46e-31	124
n79	n34	32.7	1.27e-30	124
n79	n53	32.2	1.66e-30	123
n79	n42	30.8	4.84e-30	122
n79	n69	33.2	1.41e-29	120
n79	n6	29.7	1.41e-29	120
n79	n5	32.3	1.84e-29	120
n79	n18	30.8	2.4e-29	119
n79	n74	33.2	3.13e-29	119
n79	n51	30.2	3.13e-29	119
n79	n36	29.7	1.19e-28	117
n79	n64	32.2	2.65e-28	116
n79	n60	30.5	3.47e-28	116
n79	n54	31.0	3.47e-28	116
n79	n52	30.8	3.47e-28	116
n79	n78	32.6	1.32e-27	114
n79	n2	30.6	2.25e-27	113
n79	n20	30.3	2.25e-27	113
n79	n24	30.5	2.93e-27	112
n79	n56	32.5	8.54e-27	111
n79	n55	31.7	1.23e-25	107
n79	n58	28.6	2.1e-25	106
n79	n72	29.5	7.99e-25	104
n79	n73	27.0	1.04e-24	104
n79	n43	27.7	1.15e-23	101
n79	n57	30.8	6.33e-22	95
n79	n32	27.4	3.14e-21	92
n79	n28	28.5	9.14e-21	91
n79	n63	26.6	1.78e-16	77
n79	n40	24.3	3.04e-16	76
n79	n38	25.3	3.6e-09	52
n79	n37	24.3	0.025	30
n79	n49	27.1	1.05	24
n78	n72	60.4	3.51e-100	355
n78	n2	66.2	4.59e-100	354
n78	n52	64.2	7.83e-100	354
n78	n53	64.2	2.97e-99	352
n78	n54	65.7	1.48e-98	349
n78	n62	64.6	4.3e-98	348
n78	n24	58.5	1.17e-95	340
n78	n64	61.9	1.53e-95	339
n78	n29	58.0	3.4e-95	338
n78	n16	63.6	7.58e-95	337
n78	n6	58.8	4.91e-94	334
n78	n15	56.7	2.44e-93	332
n78	n44	56.7	2.44e-93	332
n78	n46	56.7	2.44e-93	332
n78	n25	56.7	2.06e-92	329
n78	n23	55.6	3.52e-92	328
n78	n14	56.6	6.01e-92	327
n78	n45	56.6	6.01e-92	327
n78	n22	55.4	7.85e-92	327
n78	n27	55.4	7.85e-92	327
n78	n26	60.6	2.28e-91	325
n78	n30	60.2	3.89e-91	325
n78	n11	60.2	3.89e-91	325
n78	n13	60.2	8.68e-91	324
n78	n8	60.0	1.48e-90	323
n78	n31	59.8	3.3e-90	322
n78	n12	59.8	3.3e-90	322
n78	n5	57.5	7.34e-90	320
n78	n74	57.2	2.14e-89	319
n78	n9	57.0	2.14e-89	319
n78	n10	59.8	2.79e-89	319
n78	n73	54.1	1.69e-86	309
n78	n57	55.4	2.14e-81	292
n78	n56	55.4	6.23e-81	291
n78	n55	55.0	1.39e-80	290
n78	n28	50.9	9e-80	287
n78	n68	48.5	3.54e-76	275
n78	n66	48.7	1.03e-75	273
n78	n33	50.7	1.34e-75	273
n78	n18	48.3	6.67e-75	271
n78	n69	49.1	1.49e-74	270
n78	n7	48.2	9.64e-74	267
n78	n34	49.7	4.78e-73	265
n78	n32	48.4	1.82e-72	263
n78	n42	49.4	1.82e-72	263
n78	n70	46.7	2.01e-71	259
n78	n76	48.0	2.01e-71	259
n78	n51	46.7	4.95e-70	255
n78	n19	44.6	6.46e-70	254
n78	n77	45.2	1.1e-69	253
n78	n61	45.3	2.46e-69	252
n78	n58	46.6	9.33e-69	250
n78	n47	46.9	2.08e-68	249
n78	n21	46.9	2.08e-68	249
n78	n60	47.4	6.05e-68	248
n78	n4	46.6	1.35e-67	247
n78	n1	44.9	9.66e-66	240
n78	n36	45.3	3.11e-64	235
n78	n59	42.2	3.11e-64	235
n78	n71	41.8	1.18e-63	233
n78	n75	46.4	1.7e-62	230
n78	n41	43.4	2.23e-62	229
n78	n20	42.9	5.48e-61	225
n78	n43	42.2	2.64e-55	206
n78	n67	32.1	1.56e-31	127
n78	n50	33.1	5.01e-30	122
n78	n40	30.6	1.36e-27	114
n78	n63	30.7	1.08e-24	104
n78	n38	27.8	2.04e-15	73
n78	n49	27.1	0.000805	35
n78	n17	25.7	0.00105	34
n78	n65	25.9	0.00522	32
n78	n49	24.3	0.0259	30
n78	n37	24.5	0.0338	29
n78	n39	23.5	0.219	27
n78	n39	24.4	1.86	23
n77	n7	85.9	2.33e-155	538
n77	n68	84.5	3.71e-153	531
n77	n66	82.9	5.93e-151	523
n77	n76	79.9	3.85e-142	494
n77	n19	73.9	1.12e-133	466
n77	n61	68.4	1.47e-125	439
n77	n60	66.5	3.51e-119	418
n77	n51	58.7	1.13e-101	360
n77	n36	54.5	1.48e-101	359
n77	n71	55.5	4.46e-98	348
n77	n59	56.0	3.19e-96	342
n77	n20	51.3	7.13e-88	314
n77	n42	53.1	3.31e-85	305
n77	n18	47.7	1.82e-83	299
n77	n4	48.8	9.34e-80	287
n77	n1	49.7	1.14e-77	280
n77	n70	47.5	7.4e-77	277
n77	n22	48.5	4.79e-76	275
n77	n27	48.5	4.79e-76	275
n77	n62	51.9	2.38e-75	272
n77	n24	47.6	4.06e-75	272
n77	n6	49.7	6.92e-75	271
n77	n14	46.2	9.04e-75	270
n77	n45	46.2	9.04e-75	270
n77	n46	46.9	1.18e-74	270
n77	n15	46.9	1.18e-74	270
n77	n44	46.9	1.18e-74	270
n77	n25	45.9	2.63e-74	269
n77	n29	46.2	4.49e-74	268
n77	n41	47.0	4.49e-74	268
n77	n21	47.3	4.49e-74	268
n77	n47	47.3	4.49e-74	268
n77	n12	50.0	1.71e-73	266
n77	n31	50.0	1.71e-73	266
n77	n11	50.7	2.23e-73	266
n77	n30	50.7	2.23e-73	266
n77	n64	50.8	3.8e-73	265
n77	n74	47.3	6.48e-73	264
n77	n16	49.8	6.48e-73	264
n77	n52	50.9	6.48e-73	264
n77	n26	50.0	2.46e-72	262
n77	n23	47.2	4.2e-72	262
n77	n8	50.0	7.17e-72	261
n77	n13	49.6	1.22e-71	260
n77	n53	50.0	2.72e-71	259
n77	n10	50.0	3.56e-71	258
n77	n72	44.8	3.33e-69	252
n77	n5	46.7	7.41e-69	251
n77	n75	49.8	1.65e-68	250
n77	n33	46.4	1.83e-67	246
n77	n56	46.6	3.12e-67	245
n77	n57	46.6	3.12e-67	245
n77	n55	46.3	1.55e-66	243
n77	n73	44.8	3.44e-66	242
n77	n32	45.5	7.67e-66	241
n77	n54	46.1	1e-65	240
n77	n2	46.3	2.92e-65	239
n77	n34	44.9	4.21e-64	235
n77	n9	41.3	1.04e-62	230
n77	n69	46.5	2.55e-61	226
n77	n43	47.5	5.69e-61	225
n77	n58	39.8	3.45e-58	215
n77	n28	40.3	2.24e-57	213
n77	n67	37.3	4.1e-43	165
n77	n50	32.7	1.67e-36	143
n77	n63	29.1	3.85e-25	106
n77	n40	25.1	8.88e-22	94
n77	n38	30.6	4.27e-16	75
n77	n37	25.6	5.23e-06	42
n77	n49	27.1	2.6e-05	40
n77	n3	25.6	4.43e-05	39
n77	n35	24.0	0.000168	37
n76	n68	76.6	1.67e-137	479
n76	n7	76.8	3.73e-137	478
n76	n66	78.3	8.31e-137	476
n76	n19	73.9	5.57e-133	464
n76	n61	71.9	2.68e-127	445
n76	n60	66.3	1.29e-121	426
n76	n51	57.3	4.31e-101	358
n76	n36	54.4	4.76e-100	354
n76	n59	53.2	4.77e-92	328
n76	n71	53.7	1.54e-90	323
n76	n20	50.2	9.64e-85	304
n76	n42	49.5	1.54e-82	296
n76	n18	48.5	1.22e-79	287
n76	n4	47.4	5.66e-77	278
n76	n62	52.6	4.79e-76	275
n76	n1	48.2	4.06e-75	272
n76	n70	49.6	2.01e-74	269
n76	n16	51.1	2.23e-73	266
n76	n47	46.6	2.91e-73	265
n76	n21	46.6	2.91e-73	265
n76	n12	49.4	4.96e-73	265
n76	n14	49.3	4.96e-73	265
n76	n31	49.4	4.96e-73	265
n76	n45	49.3	4.96e-73	265
n76	n25	48.9	1.44e-72	263
n76	n24	50.9	1.89e-72	263
n76	n29	49.3	2.46e-72	262
n76	n44	49.6	4.2e-72	262
n76	n11	49.8	4.2e-72	262
n76	n15	49.6	4.2e-72	262
n76	n46	49.6	4.2e-72	262
n76	n30	49.8	4.2e-72	262
n76	n8	49.6	5.49e-72	261
n76	n27	46.7	7.17e-72	261
n76	n22	46.7	7.17e-72	261
n76	n52	50.0	9.36e-72	260
n76	n13	49.4	1.22e-71	260
n76	n26	49.4	2.08e-71	259
n76	n6	47.5	4.64e-71	258
n76	n23	46.2	6.07e-71	258
n76	n72	45.9	1.76e-70	256
n76	n41	44.5	3.01e-70	255
n76	n53	49.1	5.13e-70	255
n76	n10	49.1	8.76e-70	254
n76	n64	49.3	8.76e-70	254
n76	n74	45.7	2.55e-69	252
n76	n33	47.0	7.41e-69	251
n76	n75	49.6	7.41e-69	251
n76	n54	48.3	3.68e-68	248
n76	n2	48.1	6.28e-68	248
n76	n57	46.1	2.02e-66	243
n76	n34	45.5	7.67e-66	241
n76	n56	46.1	1e-65	240
n76	n55	45.7	1.31e-65	240
n76	n5	44.7	3.22e-64	235
n76	n9	43.2	5.5e-64	235
n76	n73	45.5	2.09e-63	233
n76	n32	47.4	1.04e-62	230
n76	n43	45.3	2.16e-60	223
n76	n28	41.6	4.82e-60	221
n76	n69	42.2	2.64e-58	216
n76	n58	39.2	9.4e-56	207
n76	n67	35.7	2.03e-42	163
n76	n50	32.7	2.84e-36	143
n76	n40	27.8	3.85e-25	106
n76	n63	29.8	1.46e-24	104
n76	n38	29.9	7.78e-18	81
n76	n37	30.1	1.52e-05	40
n76	n3	24.5	0.000287	36
n76	n49	25.6	0.00142	34
n75	n1	61.5	2.56e-100	355
n75	n21	61.8	1.19e-97	346
n75	n47	61.8	1.19e-97	346
n75	n4	57.3	1.46e-87	313
n75	n18	55.7	2.57e-84	302
n75	n42	54.6	4.25e-79	285
n75	n59	52.3	9.47e-79	283
n75	n71	49.5	3.05e-77	278
n75	n20	51.1	1.85e-74	269
n75	n70	47.3	5.03e-72	261
n75	n51	53.6	1.12e-71	260
n75	n7	48.9	9.5e-71	257
n75	n68	51.9	4.71e-70	255
n75	n15	49.3	1.79e-69	253
n75	n44	49.3	1.79e-69	253
n75	n46	49.3	1.79e-69	253
n75	n29	48.9	1.16e-68	250
n75	n66	50.2	1.16e-68	250
n75	n62	50.4	1.52e-68	250
n75	n36	49.8	2.19e-67	246
n75	n74	47.9	2.19e-67	246
n75	n25	47.8	1.42e-66	243
n75	n30	49.8	1.42e-66	243
n75	n11	49.8	1.42e-66	243
n75	n56	49.8	1.85e-66	243
n75	n26	49.8	2.42e-66	242
n75	n45	47.5	3.16e-66	242
n75	n14	47.5	3.16e-66	242
n75	n13	49.4	5.39e-66	241
n75	n8	49.2	7.04e-66	241
n75	n57	48.6	1.57e-65	240
n75	n69	45.8	1.57e-65	240
n75	n10	48.5	2.68e-65	239
n75	n55	48.6	2.68e-65	239
n75	n31	48.6	2.27e-64	236
n75	n12	48.6	2.27e-64	236
n75	n16	48.6	2.27e-64	236
n75	n5	47.2	2.96e-64	235
n75	n58	45.7	3.86e-64	235
n75	n19	43.7	6.59e-64	234
n75	n61	46.2	6.59e-64	234
n75	n9	48.4	8.61e-64	234
n75	n6	45.4	2.5e-63	232
n75	n53	47.4	5.58e-63	231
n75	n73	45.0	7.29e-63	231
n75	n54	46.6	9.52e-63	230
n75	n60	46.6	1.24e-62	230
n75	n41	46.5	1.24e-62	230
n75	n64	49.2	1.62e-62	230
n75	n2	45.6	2.77e-62	229
n75	n22	44.8	6.17e-62	228
n75	n27	44.8	6.17e-62	228
n75	n23	44.7	2.34e-61	226
n75	n72	43.5	5.22e-61	225
n75	n52	47.0	5.22e-61	225
n75	n24	43.8	5.22e-61	225
n75	n33	43.0	1.42e-58	216
n75	n43	41.9	1.47e-55	206
n75	n28	40.4	4.28e-55	205
n75	n34	40.9	9.54e-55	204
n75	n32	41.0	8.93e-53	197
n75	n67	37.6	1.38e-37	147
n75	n50	32.9	1.13e-31	127
n75	n63	29.5	1.34e-24	104
n75	n38	28.2	2.45e-18	83
n75	n40	23.4	6.04e-17	78
n75	n39	21.8	0.0145	30
n75	n37	29.1	0.0322	29
n75	n49	48.4	0.122	27
n75	n65	24.1	0.465	25
n74	n27	78.2	9.82e-132	460
n74	n22	78.2	9.82e-132	460
n74	n23	76.8	7.78e-129	450
n74	n15	76.8	1.33e-128	449
n74	n46	76.8	1.33e-128	449
n74	n44	76.8	1.33e-128	449
n74	n14	76.5	1.92e-127	445
n74	n45	76.5	1.92e-127	445
n74	n25	75.8	1.62e-126	442
n74	n29	76.1	2.12e-126	442
n74	n11	79.7	2.86e-123	431
n74	n30	79.7	2.86e-123	431
n74	n12	79.7	1.09e-122	429
n74	n31	79.7	1.09e-122	429
n74	n13	78.9	3.17e-122	428
n74	n26	78.9	3.17e-122	428
n74	n8	78.6	1.2e-121	426
n74	n10	78.2	4.28e-119	418
n74	n16	74.7	1.8e-117	412
n74	n72	61.5	4.02e-101	358
n74	n24	59.9	4.45e-100	354
n74	n52	65.4	6.42e-99	351
n74	n53	65.6	1.43e-98	349
n74	n64	66.7	2.7e-97	345
n74	n6	58.5	1.06e-93	333
n74	n5	58.4	1.39e-93	333
n74	n62	62.5	1.17e-92	330
n74	n2	60.8	4.93e-91	324
n74	n54	60.7	1.1e-90	323
n74	n9	57.2	1.75e-88	316
n74	n69	55.0	3.31e-87	312
n74	n32	53.1	1.54e-84	303
n74	n33	56.4	3.42e-84	302
n74	n57	57.9	3.78e-83	298
n74	n73	54.2	6.45e-83	297
n74	n55	57.1	4.18e-82	295
n74	n28	51.8	4.18e-82	295
n74	n56	57.1	5.46e-82	294
n74	n18	54.0	1.22e-81	293
n74	n34	55.3	2.08e-81	292
n74	n58	51.7	1.39e-77	280
n74	n68	49.8	4.05e-77	278
n74	n4	51.7	4.48e-76	275
n74	n42	49.5	9.98e-76	273
